,Date,Username,Tweet,word_count,char_count,avg_word,stopwords,hastags,scores,label
0,2023-03-11 06:15:11+00:00,Dante_Manda,will. thank you.,5,35,6.2,0,0,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",Positive
1,2023-03-09 12:22:03+00:00,explore_ai_acad,@dante_manda application july 2023 cohort open mid-april. keep eye social medium account update announcements.,23,146,5.391304347826087,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,2023-03-09 09:10:46+00:00,Dante_Manda,application opening?,5,47,8.6,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,2023-03-08 14:41:39+00:00,Mr__Nwankwo,beautiful interactive space.,5,49,9.0,0,0,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",Positive
4,2023-03-07 13:47:56+00:00,_techbarbie_,@alx_africa please anyone answer question. program like software engineering program task everyday? @explore_ai,32,203,5.516129032258065,0,0,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5859}",Positive
5,2023-03-06 17:03:28+00:00,Ndaruga2,@alx_africa link corrupted,7,53,6.714285714285714,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
6,2023-03-06 11:58:25+00:00,explore_ai_acad,"join tonight 7pm eat twitter space exploreai expert partnership alx, dive exciting world discus cutting-edge courses. alxafrica dataanalytics",35,267,6.1891891891891895,0,5,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}",Positive
7,2023-03-03 15:58:00+00:00,explore_ai_acad,"excited announce partnership @alx_africa, african education powerhouse, train 25,000 african dynamic field dataanalytics. read here:",30,227,6.32258064516129,0,2,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",Positive
8,2023-03-02 07:49:14+00:00,tech_financials,sa startup exploreai academy partner alx train 25 000 african scientist africa digitaleconomy,19,164,7.684210526315789,0,3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
9,2023-02-15 10:10:02+00:00,wethinkcode,calling coder ⬇️⬇️⬇️ @umuziorg @girlcode_za @geekulcha @codejika @codespaceza @code4changesa @codehubafrica @project_codex,13,146,10.153846153846153,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
